"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-01",,"83","96","60"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-02",,"80","92","59"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-03",,"78","90","56"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-04",,"81",,"57"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-05",,"81","91","59"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-06",,"81","92","59"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-07",,"80","90","66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-08",,"81","91","66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-09",,"80","90","63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-10",,"79","93","62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-11",,"80","93","63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-12",,"77",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-13",,"77",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-14",,"75",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-15",,"75",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-16",,"76",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-17",,"75",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-18",,"75",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-19",,"75",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-20",,"74",,"55"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-21",,"77",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-22",,"78",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-23",,"80",,"61"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-24",,"81",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-25",,"78",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-26",,"75",,"56"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-27",,"75",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-28",,"79",,"57"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-29",,"81",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-30",,"81",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-01-31",,"80",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-01",,"80",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-02",,"80",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-03",,"78",,"59"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-04",,"77",,"58"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-05",,"75",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-06",,"75",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-07",,"75",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-08",,"76",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-09",,"78",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-10",,"79",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-11",,"76",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-12",,"75",,"64"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-13",,"76",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-14",,"77",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-15",,"78",,"62"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-16",,"79",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-17",,"80",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-18",,"80",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-19",,"80",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-20",,"82",,"70"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-21",,"83",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-22",,"81",,"65"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-23",,"79",,"63"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-24",,"78",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-25",,"79",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-26",,"80",,"66"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-27",,"83",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-28",,"82",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-02-29",,"83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-01",,"85",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-02",,"85",,"74"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-03",,"88",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-04",,"83",,
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-05",,"84",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-06",,"83",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-07",,"83",,"68"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-08",,"85",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-09",,"85",,"73"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-10",,"86",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2016-03-11",,"86",,"72"
